state,features,propertyType,bathrooms,bedrooms,carspaces,unitNumber,streetNumber,street,area,region,suburb,postcode,displayableAddress,latitude,longitude,isRural,isNew,tags,id,sold_price,landArea,URL
NSW,"['AirConditioning', 'Floorboards', 'Dishwasher']",ApartmentUnitFlat,2,3,2,311,62-74,Beamish Street,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"311/62-74 Beamish Street, Campsie",-33.9065132,151.102951,False,False,[],2017694414,730000,147,http://www.domain.com.au/2017694414
NSW,"['BuiltInWardrobes', 'Floorboards', 'PetsAllowed', 'NorthFacing', 'Intercom', 'Bath']",ApartmentUnitFlat,1,1,1,1,15,Hill Street,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"1/15 Hill Street, Campsie",-33.91337,151.1058,False,False,[],2017425579,410000,71,http://www.domain.com.au/2017425579
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Gas', 'SecureParking', 'Intercom']",ApartmentUnitFlat,1,2,1,,13/70-74,Clissold Parade,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"13/70-74 Clissold Parade, Campsie",-33.9084,151.106827,False,False,[],2017563930,690000,114,http://www.domain.com.au/2017563930
NSW,"['BuiltInWardrobes', 'InternalLaundry']",ApartmentUnitFlat,2,2,1,104,363,Beamish St,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"104/363 Beamish St, Campsie",-33.9153252,151.104324,False,False,[],2017594640,618000,109,http://www.domain.com.au/2017594640
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Floorboards', 'InternalLaundry', 'SecureParking', 'NorthFacing', 'BalconyDeck']",ApartmentUnitFlat,2,2,1,10,50,Seventh Avenue,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"10/50 Seventh Avenue, Campsie",-33.9056358,151.097656,False,False,[],2017510703,618000,96,http://www.domain.com.au/2017510703
NSW,"['BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Bath', 'Dishwasher', 'Study', 'BalconyDeck']",ApartmentUnitFlat,2,2,1,501D,5-11,Sixth Avenue,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"501D/5-11 Sixth Avenue, Campsie",-33.90762,151.102386,False,False,[],2017451832,670000,119,http://www.domain.com.au/2017451832
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'Intercom', 'Bath', 'Dishwasher', 'BalconyDeck']",ApartmentUnitFlat,2,2,1,22,502-518,Canterbury Road,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"22/502-518 Canterbury Road, Campsie",-33.9198532,151.10083,False,False,[],2017444287,642000,113,http://www.domain.com.au/2017444287
NSW,"['AirConditioning', 'Gas']",ApartmentUnitFlat,1,1,1,406,418,Canterbury Road,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"406/418 Canterbury Road, Campsie",-33.9180145,151.105713,False,False,[],2017353199,550000,104,http://www.domain.com.au/2017353199
NSW,"['BuiltInWardrobes', 'Ensuite', 'Gas', 'InternalLaundry', 'SecureParking', 'GroundFloor', 'Intercom', 'Bath', 'Dishwasher']",ApartmentUnitFlat,2,2,2,G04,6-8,Sunbeam Street,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"G04/6-8 Sunbeam Street, Campsie",-33.9217758,151.1023,False,False,[],2017426366,770000,209,http://www.domain.com.au/2017426366
NSW,"['AirConditioning', 'BuiltInWardrobes', 'Ensuite', 'Floorboards', 'Gas', 'InternalLaundry', 'SecureParking', 'Intercom', 'Bath', 'Heating', 'Study']",ApartmentUnitFlat,2,2,2,2,5-9,Hill Street,Canterbury/Bankstown,Sydney Region,CAMPSIE,2194,"2/5-9 Hill Street, Campsie",-33.91321,151.106445,False,False,[],2017338833,808000,129,http://www.domain.com.au/2017338833
